,id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
20,785,169,9905,2012-02-22 00:00:00,68,Fast,Little,57,Mixed,Organised,55,Normal,39,Normal,60,Normal,Organised,52,Medium,65,Press,53,Normal,Cover,16243,9905,169,1. FSV Mainz 05,MAI
21,786,169,9905,2013-09-20 00:00:00,66,Balanced,Little,52,Mixed,Organised,55,Normal,37,Normal,56,Normal,Organised,48,Medium,65,Press,53,Normal,Cover,16243,9905,169,1. FSV Mainz 05,MAI
22,787,169,9905,2014-09-19 00:00:00,67,Fast,Normal,57,Mixed,Organised,55,Normal,38,Normal,44,Normal,Organised,53,Medium,60,Press,52,Normal,Cover,16243,9905,169,1. FSV Mainz 05,MAI
23,788,169,9905,2015-09-10 00:00:00,60,Balanced,Normal,53,Mixed,Organised,49,Normal,40,Normal,44,Normal,Organised,55,Medium,62,Press,47,Normal,Cover,16243,9905,169,1. FSV Mainz 05,MAI
24,10,614,8576,2010-02-22 00:00:00,60,Balanced,Little,40,Mixed,Organised,45,Normal,35,Normal,55,Normal,Organised,30,Deep,70,Double,30,Narrow,Offside Trap,11817,8576,614,AC Ajaccio,AJA
25,11,614,8576,2011-02-22 00:00:00,65,Balanced,Little,45,Mixed,Organised,65,Normal,65,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,11817,8576,614,AC Ajaccio,AJA
26,12,614,8576,2012-02-22 00:00:00,59,Balanced,Little,52,Mixed,Organised,48,Normal,34,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,11817,8576,614,AC Ajaccio,AJA
27,13,614,8576,2013-09-20 00:00:00,59,Balanced,Little,52,Mixed,Organised,48,Normal,34,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,11817,8576,614,AC Ajaccio,AJA
28,14,614,8576,2014-09-19 00:00:00,59,Balanced,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,11817,8576,614,AC Ajaccio,AJA
29,15,614,8576,2015-09-10 00:00:00,59,Balanced,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,11817,8576,614,AC Ajaccio,AJA
30,60,111989,108893,2010-02-22 00:00:00,50,Balanced,Little,65,Mixed,Organised,30,Safe,35,Normal,30,Little,Organised,30,Deep,50,Press,35,Normal,Cover,11074,108893,111989,AC Arles-Avignon,ARL
31,61,111989,108893,2011-02-22 00:00:00,50,Balanced,Little,65,Mixed,Organised,35,Normal,35,Normal,35,Normal,Organised,25,Deep,45,Press,35,Normal,Cover,11074,108893,111989,AC Arles-Avignon,ARL
32,62,111989,108893,2012-02-22 00:00:00,23,Slow,Little,33,Short,Organised,49,Normal,40,Normal,43,Normal,Organised,44,Medium,32,Contain,36,Normal,Cover,11074,108893,111989,AC Arles-Avignon,ARL
33,63,111989,108893,2013-09-20 00:00:00,41,Balanced,Little,48,Mixed,Organised,58,Normal,40,Normal,43,Normal,Organised,39,Medium,43,Press,58,Normal,Cover,11074,108893,111989,AC Arles-Avignon,ARL
34,64,111989,108893,2014-09-19 00:00:00,39,Balanced,Normal,54,Mixed,Organised,49,Normal,40,Normal,43,Normal,Organised,44,Medium,53,Press,57,Normal,Cover,11074,108893,111989,AC Arles-Avignon,ARL
35,65,111989,108893,2015-09-10 00:00:00,56,Balanced,Normal,54,Mixed,Organised,55,Normal,40,Normal,43,Normal,Organised,48,Medium,53,Press,57,Normal,Cover,11074,108893,111989,AC Arles-Avignon,ARL
36,159,1714,6493,2010-02-22 00:00:00,40,Balanced,Little,50,Mixed,Organised,55,Normal,65,Normal,55,Normal,Organised,45,Medium,50,Press,55,Normal,Cover,49116,6493,1714,AC Bellinzona,BEL
37,160,1714,6493,2011-02-22 00:00:00,47,Balanced,Little,54,Mixed,Organised,55,Normal,38,Normal,55,Normal,Organised,32,Deep,50,Press,56,Normal,Cover,49116,6493,1714,AC Bellinzona,BEL
38,28,650,10217,2010-02-22 00:00:00,30,Slow,Little,35,Mixed,Organised,30,Safe,50,Normal,65,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,26560,10217,650,ADO Den Haag,HAA
39,29,650,10217,2011-02-22 00:00:00,53,Balanced,Little,53,Mixed,Organised,48,Normal,67,Lots,66,Normal,Organised,46,Medium,62,Press,65,Normal,Cover,26560,10217,650,ADO Den Haag,HAA
40,30,650,10217,2012-02-22 00:00:00,38,Balanced,Little,44,Mixed,Organised,55,Normal,60,Normal,44,Normal,Organised,50,Medium,58,Press,62,Normal,Cover,26560,10217,650,ADO Den Haag,HAA
41,31,650,10217,2013-09-20 00:00:00,38,Balanced,Little,47,Mixed,Organised,55,Normal,55,Normal,44,Normal,Organised,50,Medium,58,Press,52,Normal,Cover,26560,10217,650,ADO Den Haag,HAA
42,32,650,10217,2014-09-19 00:00:00,58,Balanced,Normal,55,Mixed,Organised,55,Normal,52,Normal,44,Normal,Organised,57,Medium,50,Press,52,Normal,Cover,26560,10217,650,ADO Den Haag,HAA
43,33,650,10217,2015-09-10 00:00:00,56,Balanced,Normal,66,Mixed,Organised,55,Normal,52,Normal,38,Normal,Organised,40,Medium,50,Press,52,Normal,Cover,26560,10217,650,ADO Den Haag,HAA
44,107,57,8583,2010-02-22 00:00:00,30,Slow,Little,70,Long,Organised,35,Normal,65,Normal,35,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,9537,8583,57,AJ Auxerre,AUX
45,108,57,8583,2011-02-22 00:00:00,35,Balanced,Little,65,Mixed,Organised,35,Normal,65,Normal,50,Normal,Organised,35,Medium,45,Press,65,Normal,Cover,9537,8583,57,AJ Auxerre,AUX
46,109,57,8583,2012-02-22 00:00:00,64,Balanced,Little,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,36,Normal,Cover,9537,8583,57,AJ Auxerre,AUX
47,110,57,8583,2013-09-20 00:00:00,64,Balanced,Little,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,41,Normal,Cover,9537,8583,57,AJ Auxerre,AUX
48,111,57,8583,2014-09-19 00:00:00,64,Balanced,Normal,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,36,Normal,Cover,9537,8583,57,AJ Auxerre,AUX
49,112,57,8583,2015-09-10 00:00:00,64,Balanced,Normal,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,40,Normal,Cover,9537,8583,57,AJ Auxerre,AUX
50,836,69,9829,2010-02-22 00:00:00,35,Balanced,Little,55,Mixed,Organised,65,Normal,55,Normal,45,Normal,Organised,70,High,65,Press,70,Wide,Cover,9547,9829,69,AS Monaco,MON
51,837,69,9829,2011-02-22 00:00:00,65,Balanced,Little,50,Mixed,Organised,65,Normal,35,Normal,50,Normal,Organised,35,Medium,55,Press,50,Normal,Cover,9547,9829,69,AS Monaco,MON
52,838,69,9829,2012-02-22 00:00:00,52,Balanced,Little,48,Mixed,Organised,37,Normal,37,Normal,37,Normal,Organised,35,Medium,34,Press,51,Normal,Cover,9547,9829,69,AS Monaco,MON
53,839,69,9829,2013-09-20 00:00:00,52,Balanced,Little,48,Mixed,Organised,37,Normal,37,Normal,37,Normal,Organised,35,Medium,34,Press,51,Normal,Cover,9547,9829,69,AS Monaco,MON
54,840,69,9829,2014-09-19 00:00:00,52,Balanced,Lots,48,Mixed,Organised,37,Normal,37,Normal,37,Normal,Organised,35,Medium,34,Press,51,Normal,Cover,9547,9829,69,AS Monaco,MON
55,841,69,9829,2015-09-10 00:00:00,52,Balanced,Normal,43,Mixed,Organised,54,Normal,56,Normal,23,Little,Organised,56,Medium,62,Press,51,Normal,Cover,9547,9829,69,AS Monaco,MON
56,874,1823,8481,2010-02-22 00:00:00,65,Balanced,Little,40,Mixed,Organised,60,Normal,70,Lots,30,Little,Organised,70,High,70,Double,70,Wide,Cover,9549,8481,1823,AS Nancy-Lorraine,NAN
57,875,1823,8481,2011-02-22 00:00:00,35,Balanced,Little,35,Mixed,Organised,35,Normal,65,Normal,35,Normal,Organised,35,Medium,55,Press,50,Normal,Cover,9549,8481,1823,AS Nancy-Lorraine,NAN
58,876,1823,8481,2012-02-22 00:00:00,49,Balanced,Little,49,Mixed,Organised,52,Normal,53,Normal,67,Lots,Organised,43,Medium,46,Press,50,Normal,Cover,9549,8481,1823,AS Nancy-Lorraine,NAN
59,877,1823,8481,2013-09-20 00:00:00,49,Balanced,Little,49,Mixed,Organised,52,Normal,53,Normal,67,Lots,Organised,43,Medium,46,Press,50,Normal,Cover,9549,8481,1823,AS Nancy-Lorraine,NAN
60,878,1823,8481,2014-09-19 00:00:00,49,Balanced,Normal,49,Mixed,Organised,52,Normal,53,Normal,67,Lots,Organised,43,Medium,46,Press,50,Normal,Cover,9549,8481,1823,AS Nancy-Lorraine,NAN
61,879,1823,8481,2015-09-10 00:00:00,49,Balanced,Normal,49,Mixed,Organised,52,Normal,53,Normal,67,Lots,Organised,43,Medium,46,Press,50,Normal,Cover,9549,8481,1823,AS Nancy-Lorraine,NAN
62,1119,1819,9853,2010-02-22 00:00:00,65,Balanced,Little,65,Mixed,Organised,55,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,9556,9853,1819,AS Saint-Étienne,ETI
63,1120,1819,9853,2011-02-22 00:00:00,65,Balanced,Little,35,Mixed,Organised,35,Normal,65,Normal,65,Normal,Organised,35,Medium,45,Press,65,Normal,Cover,9556,9853,1819,AS Saint-Étienne,ETI
64,1121,1819,9853,2012-02-22 00:00:00,49,Balanced,Little,52,Mixed,Organised,48,Normal,52,Normal,52,Normal,Organised,35,Medium,44,Press,50,Normal,Cover,9556,9853,1819,AS Saint-Étienne,ETI
65,1122,1819,9853,2013-09-20 00:00:00,49,Balanced,Little,52,Mixed,Organised,48,Normal,52,Normal,52,Normal,Organised,35,Medium,44,Press,50,Normal,Cover,9556,9853,1819,AS Saint-Étienne,ETI
66,1123,1819,9853,2014-09-19 00:00:00,58,Balanced,Normal,52,Mixed,Organised,48,Normal,52,Normal,52,Normal,Organised,35,Medium,44,Press,50,Normal,Cover,9556,9853,1819,AS Saint-Étienne,ETI
67,1124,1819,9853,2015-09-10 00:00:00,58,Balanced,Normal,52,Mixed,Organised,48,Normal,64,Normal,52,Normal,Organised,48,Medium,51,Press,49,Normal,Cover,9556,9853,1819,AS Saint-Étienne,ETI
68,113,1906,10229,2010-02-22 00:00:00,55,Balanced,Little,45,Mixed,Organised,40,Normal,30,Little,60,Normal,Organised,30,Deep,30,Contain,50,Normal,Cover,26563,10229,1906,AZ,ALK
69,114,1906,10229,2011-02-22 00:00:00,45,Balanced,Little,31,Short,Organised,45,Normal,74,Lots,66,Normal,Organised,60,Medium,50,Press,65,Normal,Cover,26563,10229,1906,AZ,ALK
70,115,1906,10229,2012-02-22 00:00:00,46,Balanced,Little,36,Mixed,Organised,47,Normal,48,Normal,52,Normal,Organised,60,Medium,65,Press,59,Normal,Cover,26563,10229,1906,AZ,ALK
71,116,1906,10229,2013-09-20 00:00:00,62,Balanced,Little,40,Mixed,Organised,67,Risky,48,Normal,52,Normal,Organised,50,Medium,65,Press,59,Normal,Cover,26563,10229,1906,AZ,ALK
72,117,1906,10229,2014-09-19 00:00:00,52,Balanced,Normal,46,Mixed,Organised,60,Normal,56,Normal,52,Normal,Free Form,50,Medium,61,Press,55,Normal,Cover,26563,10229,1906,AZ,ALK
73,118,1906,10229,2015-09-10 00:00:00,50,Balanced,Normal,58,Mixed,Organised,67,Risky,56,Normal,50,Normal,Organised,50,Medium,61,Press,55,Normal,Cover,26563,10229,1906,AZ,ALK
74,4,77,8485,2010-02-22 00:00:00,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover,39393,8485,77,Aberdeen,ABE
75,5,77,8485,2011-02-22 00:00:00,47,Balanced,Little,52,Mixed,Organised,53,Normal,48,Normal,52,Normal,Organised,47,Medium,47,Press,52,Normal,Cover,39393,8485,77,Aberdeen,ABE
76,6,77,8485,2012-02-22 00:00:00,58,Balanced,Little,62,Mixed,Organised,45,Normal,70,Lots,55,Normal,Organised,40,Medium,40,Press,60,Normal,Cover,39393,8485,77,Aberdeen,ABE
77,7,77,8485,2013-09-20 00:00:00,62,Balanced,Little,45,Mixed,Organised,40,Normal,50,Normal,55,Normal,Organised,42,Medium,42,Press,60,Normal,Cover,39393,8485,77,Aberdeen,ABE
78,8,77,8485,2014-09-19 00:00:00,58,Balanced,Normal,62,Mixed,Organised,56,Normal,68,Lots,57,Normal,Organised,41,Medium,42,Press,60,Normal,Cover,39393,8485,77,Aberdeen,ABE
79,9,77,8485,2015-09-10 00:00:00,59,Balanced,Normal,53,Mixed,Organised,51,Normal,72,Lots,63,Normal,Free Form,49,Medium,45,Press,63,Normal,Cover,39393,8485,77,Aberdeen,ABE
80,22,1901,10215,2010-02-22 00:00:00,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,35292,10215,1901,Académica de Coimbra,ACA
81,23,1901,10215,2011-02-22 00:00:00,30,Slow,Little,50,Mixed,Organised,50,Normal,50,Normal,55,Normal,Organised,30,Deep,45,Press,65,Normal,Cover,35292,10215,1901,Académica de Coimbra,ACA
82,24,1901,10215,2012-02-22 00:00:00,45,Balanced,Little,44,Mixed,Organised,55,Normal,57,Normal,60,Normal,Organised,52,Medium,38,Press,61,Normal,Cover,35292,10215,1901,Académica de Coimbra,ACA
83,25,1901,10215,2013-09-20 00:00:00,45,Balanced,Little,44,Mixed,Organised,55,Normal,57,Normal,60,Normal,Organised,52,Medium,38,Press,61,Normal,Cover,35292,10215,1901,Académica de Coimbra,ACA
84,26,1901,10215,2014-09-19 00:00:00,52,Balanced,Normal,44,Mixed,Organised,55,Normal,51,Normal,60,Normal,Organised,39,Medium,38,Press,61,Normal,Cover,35292,10215,1901,Académica de Coimbra,ACA
85,27,1901,10215,2015-09-10 00:00:00,53,Balanced,Normal,44,Mixed,Organised,55,Normal,51,Normal,60,Normal,Organised,39,Medium,38,Press,61,Normal,Cover,35292,10215,1901,Académica de Coimbra,ACA
86,34,245,8593,2010-02-22 00:00:00,30,Slow,Little,30,Short,Free Form,50,Normal,60,Normal,70,Lots,Organised,30,Deep,30,Contain,30,Narrow,Cover,26552,8593,245,Ajax,AJA
87,35,245,8593,2011-02-22 00:00:00,40,Balanced,Little,38,Mixed,Free Form,67,Risky,65,Normal,67,Lots,Organised,65,Medium,57,Press,63,Normal,Cover,26552,8593,245,Ajax,AJA
88,36,245,8593,2012-02-22 00:00:00,31,Slow,Little,33,Short,Organised,39,Normal,64,Normal,46,Normal,Free Form,68,High,65,Press,60,Normal,Cover,26552,8593,245,Ajax,AJA
89,37,245,8593,2013-09-20 00:00:00,35,Balanced,Little,33,Short,Free Form,39,Normal,52,Normal,46,Normal,Free Form,68,High,65,Press,50,Normal,Cover,26552,8593,245,Ajax,AJA
90,38,245,8593,2014-09-19 00:00:00,40,Balanced,Normal,30,Short,Organised,51,Normal,55,Normal,39,Normal,Free Form,64,Medium,53,Press,64,Normal,Cover,26552,8593,245,Ajax,AJA
91,39,245,8593,2015-09-10 00:00:00,35,Balanced,Normal,39,Mixed,Organised,58,Normal,55,Normal,30,Little,Free Form,64,Medium,53,Press,59,Normal,Cover,26552,8593,245,Ajax,AJA
92,52,1530,8121,2010-02-22 00:00:00,45,Balanced,Little,35,Mixed,Organised,35,Normal,50,Normal,60,Normal,Organised,30,Deep,55,Press,30,Narrow,Offside Trap,14868,8121,1530,Angers SCO,ANG
93,53,1530,8121,2011-02-22 00:00:00,65,Balanced,Little,50,Mixed,Organised,50,Normal,65,Normal,65,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,14868,8121,1530,Angers SCO,ANG
94,54,1530,8121,2012-02-22 00:00:00,50,Balanced,Little,50,Mixed,Organised,52,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover,14868,8121,1530,Angers SCO,ANG
95,55,1530,8121,2013-09-20 00:00:00,50,Balanced,Little,50,Mixed,Organised,52,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover,14868,8121,1530,Angers SCO,ANG
96,56,1530,8121,2014-09-19 00:00:00,48,Balanced,Normal,50,Mixed,Organised,40,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover,14868,8121,1530,Angers SCO,ANG
97,57,1530,8121,2015-09-10 00:00:00,48,Balanced,Normal,50,Mixed,Organised,40,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover,14868,8121,1530,Angers SCO,ANG
98,58,111082,8322,2010-02-22 00:00:00,30,Slow,Little,45,Mixed,Organised,45,Normal,35,Normal,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover,31455,8322,111082,Arka Gdynia,ARK
99,59,111082,8322,2011-02-22 00:00:00,46,Balanced,Little,37,Mixed,Organised,33,Safe,62,Normal,52,Normal,Organised,47,Medium,48,Press,45,Normal,Cover,31455,8322,111082,Arka Gdynia,ARK
100,71,1,9825,2010-02-22 00:00:00,66,Balanced,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,3459,9825,1,Arsenal,ARS
101,72,1,9825,2011-02-22 00:00:00,75,Fast,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover,3459,9825,1,Arsenal,ARS
102,73,1,9825,2012-02-22 00:00:00,25,Slow,Little,32,Short,Organised,41,Normal,34,Normal,30,Little,Free Form,57,Medium,57,Press,52,Normal,Cover,3459,9825,1,Arsenal,ARS
103,74,1,9825,2013-09-20 00:00:00,30,Slow,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover,3459,9825,1,Arsenal,ARS
104,75,1,9825,2014-09-19 00:00:00,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,3459,9825,1,Arsenal,ARS
105,76,1,9825,2015-09-10 00:00:00,59,Balanced,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,3459,9825,1,Arsenal,ARS
106,77,2,10252,2010-02-22 00:00:00,70,Fast,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,3465,10252,2,Aston Villa,AVL
107,78,2,10252,2011-02-22 00:00:00,65,Balanced,Little,50,Mixed,Organised,45,Normal,55,Normal,50,Normal,Organised,35,Medium,45,Press,65,Normal,Cover,3465,10252,2,Aston Villa,AVL
108,79,2,10252,2012-02-22 00:00:00,67,Fast,Little,58,Mixed,Organised,44,Normal,60,Normal,56,Normal,Organised,43,Medium,50,Press,52,Normal,Cover,3465,10252,2,Aston Villa,AVL
109,80,2,10252,2013-09-20 00:00:00,63,Balanced,Little,59,Mixed,Organised,52,Normal,55,Normal,34,Normal,Organised,39,Medium,41,Press,54,Normal,Cover,3465,10252,2,Aston Villa,AVL
110,81,2,10252,2014-09-19 00:00:00,66,Balanced,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover,3465,10252,2,Aston Villa,AVL
111,82,2,10252,2015-09-10 00:00:00,63,Balanced,Normal,54,Mixed,Organised,60,Normal,48,Normal,38,Normal,Organised,35,Medium,44,Press,54,Normal,Cover,3465,10252,2,Aston Villa,AVL
112,83,39,8524,2010-02-22 00:00:00,35,Balanced,Little,40,Mixed,Organised,35,Normal,30,Little,55,Normal,Organised,30,Deep,30,Contain,55,Normal,Offside Trap,20513,8524,39,Atalanta,ATA
113,84,39,8524,2011-02-22 00:00:00,65,Balanced,Little,50,Mixed,Organised,50,Normal,65,Normal,55,Normal,Organised,45,Medium,55,Press,65,Normal,Cover,20513,8524,39,Atalanta,ATA
114,85,39,8524,2012-02-22 00:00:00,40,Balanced,Little,50,Mixed,Organised,53,Normal,47,Normal,50,Normal,Organised,55,Medium,42,Press,50,Normal,Cover,20513,8524,39,Atalanta,ATA
115,86,39,8524,2013-09-20 00:00:00,64,Balanced,Little,36,Mixed,Organised,38,Normal,49,Normal,51,Normal,Free Form,54,Medium,53,Press,49,Normal,Cover,20513,8524,39,Atalanta,ATA
116,87,39,8524,2014-09-19 00:00:00,64,Balanced,Normal,37,Mixed,Organised,38,Normal,49,Normal,51,Normal,Organised,36,Medium,66,Press,49,Normal,Cover,20513,8524,39,Atalanta,ATA
117,88,39,8524,2015-09-10 00:00:00,64,Balanced,Normal,37,Mixed,Organised,38,Normal,49,Normal,51,Normal,Organised,36,Medium,63,Press,49,Normal,Cover,20513,8524,39,Atalanta,ATA
118,89,448,8315,2010-02-22 00:00:00,60,Balanced,Little,45,Mixed,Organised,35,Normal,70,Lots,55,Normal,Organised,30,Deep,70,Double,35,Normal,Cover,43051,8315,448,Athletic Club de Bilbao,BIL
119,90,448,8315,2011-02-22 00:00:00,70,Fast,Little,69,Long,Organised,55,Normal,72,Lots,57,Normal,Organised,48,Medium,67,Double,55,Normal,Cover,43051,8315,448,Athletic Club de Bilbao,BIL
120,91,448,8315,2012-02-22 00:00:00,42,Balanced,Little,59,Mixed,Organised,36,Normal,78,Lots,59,Normal,Organised,37,Medium,60,Press,68,Wide,Cover,43051,8315,448,Athletic Club de Bilbao,BIL
121,92,448,8315,2013-09-20 00:00:00,46,Balanced,Little,38,Mixed,Organised,52,Normal,73,Lots,37,Normal,Free Form,37,Medium,60,Press,68,Wide,Cover,43051,8315,448,Athletic Club de Bilbao,BIL
122,93,448,8315,2014-09-19 00:00:00,46,Balanced,Normal,38,Mixed,Organised,52,Normal,68,Lots,37,Normal,Organised,37,Medium,60,Press,65,Normal,Cover,43051,8315,448,Athletic Club de Bilbao,BIL
123,94,448,8315,2015-09-10 00:00:00,46,Balanced,Normal,39,Mixed,Organised,50,Normal,60,Normal,36,Normal,Free Form,49,Medium,57,Press,50,Normal,Cover,43051,8315,448,Athletic Club de Bilbao,BIL
